19-04-2019,20-04-2019,Hotel Elysee by Library Hotel Collection,$341,4.6/5,647
19-04-2019,20-04-2019,SIXTY Lower East Side,$195,4.1/5,678
19-04-2019,20-04-2019,"The Ritz-Carlton New York, Central Park",$895,4.6/5,279
19-04-2019,20-04-2019,Off Soho Suites Hotel,$229,3.8/5,878
19-04-2019,20-04-2019,Best Western Fort Lee,$150,3.5/5,971
19-04-2019,20-04-2019,The Marlton Hotel,$375,4.5/5,895
19-04-2019,20-04-2019,Orchard Street Hotel,$249,3.9/5,314
19-04-2019,20-04-2019,"Inn at Great Neck, BW Premier Collection",$249,4.4/5,251
19-04-2019,20-04-2019,Hampton Inn Manhattan/Times Square Central,$249,4.5/5,"2,830"
19-04-2019,20-04-2019,Hampton Inn Manhattan/Times Square South,$204,4.2/5,"3,745"
19-04-2019,20-04-2019,Meadowlands View Hotel,$125,3.6/5,"3,297"
19-04-2019,20-04-2019,Hilton Garden Inn New York/Central Park South-Midtown West,$309,4.3/5,"2,692"
19-04-2019,20-04-2019,Hilton Garden Inn Times Square,$267,4.4/5,"8,449"
19-04-2019,20-04-2019,Hilton Garden Inn New York Times Square South,$205,4.5/5,839
19-04-2019,20-04-2019,Hilton Garden Inn New York-Times Square Central,$226,4.2/5,"2,743"
19-04-2019,20-04-2019,1 Hotel Brooklyn Bridge,$538,4.6/5,555
19-04-2019,20-04-2019,JW Marriott Essex House New York,$529,4.3/5,957
19-04-2019,20-04-2019,Hampton Inn New York - 35th Street - Empire State Building,$219,4.3/5,"2,179"
19-04-2019,20-04-2019,Moxy NYC Chelsea,$249,4.5/5,33
19-04-2019,20-04-2019,New York Marriott East Side,$499,4.1/5,"2,202"
19-04-2019,20-04-2019,Bklyn House,$239,4.0/5,488
19-04-2019,20-04-2019,Staybridge Suites Times Square,$229,4.3/5,"5,817"
19-04-2019,20-04-2019,"The Algonquin Hotel Times Square, Autograph Collection",$299,4.4/5,"1,685"
19-04-2019,20-04-2019,Fairfield Inn by Marriott New York Manhattan/Times Square,$209,4.2/5,"1,618"
19-04-2019,20-04-2019,Econo Lodge Times Square,$259,3.8/5,"1,036"
19-04-2019,20-04-2019,The New York EDITION,$425,4.5/5,290
19-04-2019,20-04-2019,Holiday Inn Express Manhattan Times Square South,$259,4.3/5,"1,662"
19-04-2019,20-04-2019,NoMo SoHo,$235,4.2/5,"1,970"
19-04-2019,20-04-2019,Renaissance New York Midtown Hotel,$309,4.6/5,517
19-04-2019,20-04-2019,Quality Inn,$139,3.4/5,48
19-04-2019,20-04-2019,DoubleTree by Hilton Fort Lee - George Washington Bridge,$162,3.8/5,"1,724"
19-04-2019,20-04-2019,"The Lexington Hotel, Autograph Collection",$730,4.1/5,"4,594"
19-04-2019,20-04-2019,Hotel Indigo Lower East Side New York,$269,4.4/5,904
19-04-2019,20-04-2019,Holiday Inn New York City - Times Square,$229,4.2/5,"1,895"
19-04-2019,20-04-2019,"Marriott Vacation Club Pulse, New York City",$279,4.4/5,"2,271"
19-04-2019,20-04-2019,Hudson River Hotel,$209,3.6/5,"1,079"
19-04-2019,20-04-2019,Hampton Inn Madison Square Garden Area Hotel,$239,4.2/5,"3,203"
19-04-2019,20-04-2019,Sago Hotel,$297,4.5/5,247
19-04-2019,20-04-2019,Life Hotel NoMad,$425,4.0/5,423
19-04-2019,20-04-2019,Holiday Inn Express New York City Times Square,$225,4.0/5,"2,315"
19-04-2019,20-04-2019,The Gatsby Hotel,$289,4.0/5,176
19-04-2019,20-04-2019,The Westin New York at Times Square,$359,4.3/5,"7,305"
19-04-2019,20-04-2019,The Andrew Hotel,$289,3.9/5,564
19-04-2019,20-04-2019,Hilton New York Fashion District,$237,4.2/5,"2,316"
19-04-2019,20-04-2019,Homewood Suites New York/Midtown Manhattan Times Square,$308,4.5/5,"2,744"
19-04-2019,20-04-2019,Chelsea Pines Inn,$289,4.2/5,464
19-04-2019,20-04-2019,Ramada by Wyndham Bronx,$219,3.7/5,640
19-04-2019,20-04-2019,GEM Hotel - Chelsea,$279,4.0/5,"1,284"
19-04-2019,20-04-2019,Hotel Hugo,$219,4.2/5,850
19-04-2019,20-04-2019,Redford Hotel,$231,3.5/5,183
19-04-2019,20-04-2019,The Maritime Hotel,$319,4.6/5,658
19-04-2019,20-04-2019,Fairfield Inn & Suites by Marriott New York ManhattanChelsea,$229,4.3/5,879
19-04-2019,20-04-2019,NobleDEN Hotel,$293,4.7/5,"1,183"
19-04-2019,20-04-2019,Mr. C Hotel Seaport,$265,4.5/5,51
19-04-2019,20-04-2019,"Club Quarters Hotel, Wall Street",$237,4.2/5,"4,582"
19-04-2019,20-04-2019,Hampton Inn Manhattan-Chelsea,$239,4.3/5,"2,254"
19-04-2019,20-04-2019,DoubleTree by Hilton New York City - Financial District,$249,4.0/5,"3,414"
19-04-2019,20-04-2019,Clarion Hotel Park Avenue,$269,3.5/5,532
19-04-2019,20-04-2019,"Gild Hall, A Thompson Hotel",$249,4.5/5,"1,738"
19-04-2019,20-04-2019,The Frederick Hotel,$259,4.3/5,476
19-04-2019,20-04-2019,Hyatt Union Square New York,$239,4.5/5,918
19-04-2019,20-04-2019,Best Western Bowery Hanbee Hotel,$259,4.1/5,"2,031"
19-04-2019,20-04-2019,The Lowell,"$2,132",4.7/5,118
19-04-2019,20-04-2019,The Inn at Irving Place,$335,4.6/5,190
19-04-2019,20-04-2019,Condor Hotel,$413,4.2/5,"1,016"
19-04-2019,20-04-2019,Hotel On Rivington,$320,4.3/5,"1,008"
19-04-2019,20-04-2019,The Bowery House,$104,3.1/5,849
19-04-2019,20-04-2019,The High Line Hotel,$439,4.3/5,550
19-04-2019,20-04-2019,Radisson Hotel JFK Airport,$289,3.3/5,"2,365"
19-04-2019,20-04-2019,The Allen Hotel,$235,4.3/5,92
19-04-2019,20-04-2019,The Tillary Hotel,$289,4.1/5,"1,055"
19-04-2019,20-04-2019,Sheraton Tribeca New York Hotel,$199,4.1/5,"3,307"
19-04-2019,20-04-2019,Neptune Hotel,$80,2.2/5,240
19-04-2019,20-04-2019,Best Western Premier NYC Gateway Hotel,$167,4.6/5,"1,027"
19-04-2019,20-04-2019,Colonial House Inn,$188,3.8/5,90
19-04-2019,20-04-2019,Holiday Inn GW Bridge-Fort Lee NYC Area,$154,3.8/5,"1,026"
19-04-2019,20-04-2019,Millennium Hilton New York Downtown,$209,4.3/5,"3,810"
19-04-2019,20-04-2019,Crowne Plaza JFK Airport New York City,$209,3.7/5,"1,155"
19-04-2019,20-04-2019,Best Western Plus Arena Hotel,$230,4.0/5,983
19-04-2019,20-04-2019,AKA Tribeca,$306,4.4/5,360
19-04-2019,20-04-2019,Hilton Garden Inn Queens/JFK Airport,$189,3.8/5,"1,257"
19-04-2019,20-04-2019,Eurostars Wall Street,$230,3.6/5,"1,150"
19-04-2019,20-04-2019,Four Points By Sheraton Manhattan Midtown West,$424,4.4/5,339
19-04-2019,20-04-2019,Best Western JFK Airport Hotel,$205,3.5/5,"2,280"
19-04-2019,20-04-2019,Duane Street Hotel Tribeca,$199,4.3/5,616
19-04-2019,20-04-2019,Four Points by Sheraton Manhattan SoHo Village,$219,4.1/5,"1,613"
19-04-2019,20-04-2019,Soho Garden Hotel,$259,3.7/5,"1,537"
19-04-2019,20-04-2019,Meadowlands River Inn,$143,4.2/5,"3,244"
19-04-2019,20-04-2019,"Club Quarters Hotel, World Trade Center",$246,4.4/5,"2,412"
19-04-2019,20-04-2019,Bellerose Inn,$149,3.6/5,409
19-04-2019,20-04-2019,SoHo 54 Hotel,$289,3.8/5,115
19-04-2019,20-04-2019,138 Bowery,$212,2.5/5,2
19-04-2019,20-04-2019,Courtyard by Marriott New York JFK Airport,$179,4.1/5,"1,187"
19-04-2019,20-04-2019,Hampton Inn Brooklyn Downtown NY,$239,4.5/5,"1,168"
19-04-2019,20-04-2019,Jets Motor Inn,$136,2.2/5,177
19-04-2019,20-04-2019,Fairfield Inn & Suites by Marriott North Bergen,$189,4.6/5,392
19-04-2019,20-04-2019,Four Seasons Hotel New York Downtown,$645,4.8/5,173
19-04-2019,20-04-2019,The Assemblage John Street,$349,4.7/5,125
19-04-2019,20-04-2019,SIXTY SoHo,$285,4.5/5,360
19-04-2019,20-04-2019,Paramount Inn,$139,3.4/5,577
19-04-2019,20-04-2019,Wyndham Garden Chinatown,$246,4.3/5,"1,631"
20-04-2019,21-04-2019,Concorde Hotel New York,$247,4.5/5,369
20-04-2019,21-04-2019,LaGuardia Plaza Hotel,$279,4.0/5,"1,971"
20-04-2019,21-04-2019,ibis Styles New York LaGuardia Airport,$189,4.3/5,904
20-04-2019,21-04-2019,Aloft New York LaGuardia Airport,$189,3.5/5,"2,084"
20-04-2019,21-04-2019,Hyatt Place Flushing/LaGuardia Airport,$297,4.2/5,792
20-04-2019,21-04-2019,Extended Stay America New York City - LaGuardia Airport,$160,3.4/5,753
20-04-2019,21-04-2019,Loews Regency New York Hotel,$459,4.6/5,"1,282"
20-04-2019,21-04-2019,Lic Plaza Hotel,$219,4.0/5,5
20-04-2019,21-04-2019,New York LaGuardia Airport Marriott,$269,4.1/5,978
20-04-2019,21-04-2019,Hampton Inn New York - LaGuardia Airport,$199,4.2/5,"1,245"
20-04-2019,21-04-2019,John Hotel,$189,4.1/5,567
20-04-2019,21-04-2019,Comfort Inn LaGuardia Airport - 83rd St,$200,3.7/5,"1,131"
20-04-2019,21-04-2019,Marco LaGuardia Hotel,$209,4.1/5,924
20-04-2019,21-04-2019,Grandview Hotel New York,$160,4.1/5,285
20-04-2019,21-04-2019,Flushing Central Hotel,$179,3.6/5,441
20-04-2019,21-04-2019,Corona Hotel,$185,3.2/5,133
20-04-2019,21-04-2019,Prince Flushing Hotel,$158,3.5/5,358
