20-04-2019,21-04-2019,Hotel Hugo,"1,111",8.1/10,"1,070"
20-04-2019,21-04-2019,Executive Hotel Le Soleil New York,787,8.5/10,"2,631"
20-04-2019,21-04-2019,Cassa Hotel Times Square,"1,105",7.9/10,"3,804"
20-04-2019,21-04-2019,Residence Inn by Marriott New York Manhattan/Central Park,"1,362",8.3/10,"1,895"
20-04-2019,21-04-2019,Dream Downtown,768,7.7/10,"1,503"
20-04-2019,21-04-2019,Library Hotel by Library Hotel Collection,"1,517",9.3/10,433
20-04-2019,21-04-2019,Freehand New York,"1,039",8.8/10,"1,114"
20-04-2019,21-04-2019,Four Seasons Hotel New York Downtown,"2,318",9.3/10,290
20-04-2019,21-04-2019,citizenM New York Times Square,"1,542",9.2/10,"5,208"
20-04-2019,21-04-2019,The Dominick Hotel,"1,312",8.6/10,"1,269"
20-04-2019,21-04-2019,11 Howard,902,8.3/10,686
20-04-2019,21-04-2019,RIU Plaza New York Times Square,"1,089",8.7/10,"5,357"
20-04-2019,21-04-2019,Hyatt Place New York/Midtown-South,931,8.6/10,"3,638"
20-04-2019,21-04-2019,Club Quarters Hotel World Trade Center,730,8.6/10,"1,296"
20-04-2019,21-04-2019,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,852,8.7/10,981
20-04-2019,21-04-2019,"LIFE Hotel, NoMad","1,003",8.1/10,"1,700"
20-04-2019,21-04-2019,The Marcel at Gramercy,823,8.3/10,"2,177"
20-04-2019,21-04-2019,Hampton Inn Manhattan Grand Central,895,8.7/10,"2,353"
20-04-2019,21-04-2019,The Allen Hotel,809,8.5/10,948
20-04-2019,21-04-2019,The Standard - East Village,"1,060",8.8/10,810
20-04-2019,21-04-2019,"The New Yorker, A Wyndham Hotel",607,7.9/10,"8,218"
20-04-2019,21-04-2019,Nolitan Hotel SoHo - New York,"1,076",8.6/10,804
20-04-2019,21-04-2019,Aloft Manhattan Downtown - Financial District,859,8.4/10,"1,266"
20-04-2019,21-04-2019,Hilton Garden Inn New York/Midtown Park Avenue,845,8.5/10,"1,707"
20-04-2019,21-04-2019,Wellington Hotel,974,7.8/10,"6,696"
20-04-2019,21-04-2019,Hampton Inn Manhattan-35th Street/Empire State Building,859,8.6/10,"1,464"
20-04-2019,21-04-2019,Arlo SoHo,717,8.6/10,"3,709"
20-04-2019,21-04-2019,Westin New York at Times Square,"1,398",8.1/10,"1,267"
20-04-2019,21-04-2019,Flatiron Hotel,751,7.2/10,580
20-04-2019,21-04-2019,The Manhattan Club,773,8.5/10,946
20-04-2019,21-04-2019,Novotel New York Times Square,"1,075",8.4/10,"3,055"
20-04-2019,21-04-2019,MOXY NYC Times Square,787,8.5/10,"5,562"
20-04-2019,21-04-2019,Seton Hotel,934,8.4/10,"1,504"
20-04-2019,21-04-2019,Arlo NoMad,753,8.7/10,"3,080"
20-04-2019,21-04-2019,citizenM New York Bowery,773,9.3/10,835
20-04-2019,21-04-2019,Sixty LES,899,8.2/10,977
20-04-2019,21-04-2019,Heritage Hotel New York City,730,7.2/10,"3,082"
20-04-2019,21-04-2019,The Gatsby Hotel,"1,075",7.8/10,310
20-04-2019,21-04-2019,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,859,8.4/10,"1,305"
20-04-2019,21-04-2019,Best Western Premier Herald Square,755,8.6/10,"1,265"
20-04-2019,21-04-2019,Pod 39,863,8.2/10,"6,992"
20-04-2019,21-04-2019,Hilton Garden Inn New York Times Square South,881,8.7/10,"1,924"
20-04-2019,21-04-2019,Hampton Inn Manhattan - Times Square South,733,8.4/10,"1,450"
20-04-2019,21-04-2019,SoHo 54,547,8.0/10,584
20-04-2019,21-04-2019,Empire Hotel,745,7.6/10,"3,727"
20-04-2019,21-04-2019,Club Quarters Hotel Midtown - Times Square,823,8.3/10,"1,333"
20-04-2019,21-04-2019,Sheraton Tribeca New York Hotel,"1,164",8.1/10,"2,510"
20-04-2019,21-04-2019,Homewood Suites Midtown Manhattan Times Square South,812,8.9/10,"2,003"
20-04-2019,21-04-2019,Bentley Hotel,859,7.9/10,"1,861"
20-04-2019,21-04-2019,"The Standard, High Line New York","1,492",8.3/10,"3,019"
20-04-2019,21-04-2019,Concorde Hotel New York,888,9.0/10,823
20-04-2019,21-04-2019,"The Beekman, a Thompson Hotel","1,254",9.2/10,"2,480"
20-04-2019,21-04-2019,Hotel Boutique at Grand Central,895,8.7/10,"2,094"
20-04-2019,21-04-2019,Staybridge Suites - Times Square - New York City,787,8.1/10,"3,157"
20-04-2019,21-04-2019,"The Paul Hotel NYC-Chelsea, an Ascend Hotel Collection Member",823,7.9/10,"1,373"
20-04-2019,21-04-2019,The Roosevelt Hotel,701,7.1/10,"1,117"
20-04-2019,21-04-2019,The Mansfield Hotel,715,7.6/10,785
20-04-2019,21-04-2019,Candlewood Suites NYC -Times Square,715,8.1/10,"2,420"
20-04-2019,21-04-2019,Dylan Hotel NYC,934,8.0/10,"1,319"
20-04-2019,21-04-2019,Arthouse Hotel,"1,258",8.3/10,"1,020"
20-04-2019,21-04-2019,Embassy Suites By Hilton New York Midtown Manhattan,895,8.3/10,525
20-04-2019,21-04-2019,Grand Hyatt New York,643,7.7/10,"4,763"
20-04-2019,21-04-2019,Hotel Belleclaire,551,7.9/10,"3,211"
20-04-2019,21-04-2019,Kimpton Hotel Eventi,852,8.7/10,697
20-04-2019,21-04-2019,The Hotel at Times Square,931,7.9/10,"7,803"
20-04-2019,21-04-2019,Cambria Hotel New York - Times Square,715,8.7/10,"3,881"
20-04-2019,21-04-2019,"The Ritz-Carlton New York, Central Park","3,037",8.8/10,121
20-04-2019,21-04-2019,Crowne Plaza Times Square,"1,024",8.2/10,"7,164"
20-04-2019,21-04-2019,Best Western Bowery Hanbee Hotel,886,8.2/10,"1,058"
20-04-2019,21-04-2019,W New York - Times Square,782,7.9/10,"1,746"
20-04-2019,21-04-2019,The Broome,"1,398",9.1/10,262
20-04-2019,21-04-2019,Parker New York,975,7.8/10,575
20-04-2019,21-04-2019,NoMo SoHo,782,8.2/10,"1,835"
20-04-2019,21-04-2019,Cambria Hotel New York - Chelsea,823,8.8/10,"1,430"
20-04-2019,21-04-2019,Times Square EDITION,"1,326",9.7/10,6
20-04-2019,21-04-2019,NobleDEN Hotel,874,9.1/10,942
20-04-2019,21-04-2019,Hotel Indigo Lower East Side,967,8.6/10,"1,172"
20-04-2019,21-04-2019,Sheraton New York Times Square Hotel,"1,182",7.6/10,"1,908"
20-04-2019,21-04-2019,WeLive Wall Street,"1,674",9.1/10,15
20-04-2019,21-04-2019,Hilton Garden Inn Central Park South,751,8.3/10,"3,735"
20-04-2019,21-04-2019,Hotel Lucerne,611,8.5/10,"2,137"
20-04-2019,21-04-2019,Washington Jefferson at Times Square,895,7.7/10,"1,655"
20-04-2019,21-04-2019,Off SoHo Suites Hotel,"1,434",7.9/10,494
20-04-2019,21-04-2019,The Redbury New York,931,8.1/10,"3,056"
